,Latitude,Longitude,Airport,Water,Building,Green_Space,Railway_Station,Urban_Area,Distance_Nearest_Greenspace,Value_co,Value_no2,Value_o3,Value_so2,Value_ai,AQ_score,Pop_density,norm_Pop_density
53950,51.27617318433733,0.1208220870955995,0,0,1,1,0,0,0.1666664364571833,0.7614029911196976,0.0029775114947291595,7.235223700689086,0.025691177509102093,-0.7926148978507177,0.33617800498957545,2.697434425354004,0.08955734621516338
53951,51.27615035311011,0.1244159209893605,0,0,1,1,0,0,0.16666643645718543,0.7613983479099022,0.0029277920228269155,7.237860599837601,0.025970924174608754,-0.7893867450392685,0.3364785616863785,2.697434425354004,0.08955734621516338
53952,51.276127411866746,0.1280097513025308,0,0,1,1,0,0,0.16666643645718235,0.7618916426331319,0.002888919152412808,7.24793312497774,0.025930344230086635,-0.7893023209594855,0.33742182338498566,1.366224765777588,0.03479004905956383
53953,51.27610436060745,0.131603578017905,0,0,0,1,0,0,0.16666643645717827,0.7622035592747399,0.002856379064498902,7.251935255334244,0.025844993996571388,-0.7837141118225508,0.33785376976646014,1.366224765777588,0.03479004905956383
53954,51.27608119933242,0.1351974011182776,0,0,0,1,0,0,0.16666643645718046,0.7624660964514433,0.0027780984701635683,7.254387407293995,0.02570430202518359,-0.7809116571149313,0.3367466977896606,1.366224765777588,0.03479004905956383
53955,51.27605792804186,0.1387912205864433,0,0,0,1,0,0,0.16666643645717702,0.7629502203167068,0.0027387820109238993,7.2592343472398815,0.02559039006340389,-0.779720746698346,0.3369146113532186,0.9830617904663086,0.019026340933697514
53956,51.27603454673599,0.1423850364051967,0,0,1,1,0,0,0.1666664364571844,0.7636920881907643,0.0026785449062672276,7.262577491127146,0.025491462831632727,-0.7861776720744337,0.33618327924566366,0.9830617904663086,0.019026340933697514
53957,51.27601105541497,0.1459788485573328,0,0,0,1,0,0,0.16666643645717588,0.7655547069831318,0.0026184403535329547,7.262999054663611,0.02525285498737357,-0.7734301988824757,0.3375420122556826,0.6171813011169434,0.003973651569943243
53958,51.27598745407905,0.1495726570256459,0,0,0,1,0,0,0.16666643645717547,0.7698875583827693,0.002517860891975486,7.261547172320865,0.02523150294929598,-0.7674773011941695,0.3406402806643052,0.6171813011169434,0.003973651569943243
53959,51.27596374272841,0.1531664617929324,0,0,0,1,0,1,0.16666643645718152,0.7806568011894299,0.002370353321076796,7.260041743700434,0.025343907575328277,-0.7633303886304466,0.35023541452543727,1.9844284057617188,0.06022356526801548
53960,51.27593992136328,0.1567602628419865,0,0,0,1,0,1,0.16666643645717658,0.7719025311485218,0.0023628256803379156,7.258130255123498,0.025308275529358867,-0.7544848154041175,0.3406005738575436,0.6171813011169434,0.003973651569943243
53961,51.27591598998384,0.1603540601556039,0,0,1,1,0,1,0.16666643645717974,0.7672924509679708,0.0025077903875823557,7.251909646025528,0.0252669260184627,-0.7387194392273471,0.33871067475336847,0.6171813011169434,0.003973651569943243
53962,51.27589194859031,0.1639478537165801,0,0,1,1,0,1,0.16666643645717907,0.7651445263194807,0.002598486397873166,7.2428693893355165,0.025097338554010397,-0.7218036452868084,0.3379113773439554,3.7582595348358154,0.13320075248341298
53963,51.2758677971829,0.1675416435077107,0,0,1,1,0,1,0.1666664364571845,0.7642493093800157,0.0026656114787484567,7.2499390404052955,0.024993798684282725,-0.7294395255412461,0.33826451215759157,3.7582595348358154,0.13320075248341298
53964,51.27584353576182,0.1711354295117916,0,0,1,1,0,1,0.16666643645717846,0.7636719747097123,0.002719997515526189,7.257903565030619,0.024836084945030965,-0.7289441997383552,0.3393492217009969,3.7582595348358154,0.13320075248341298
53965,51.2758191643273,0.1747292117116186,0,0,1,1,0,1,0.1666664364571749,0.7631211527203845,0.0027580951009255096,7.26135626980834,0.02457490898507426,-0.7169718755671517,0.3402289299619022,2.3882744312286377,0.07683819476889535
53966,51.27579468287952,0.1783229900899874,0,0,1,1,0,1,0.16666643645718168,0.7627963326262699,0.0027926262390408707,7.264233379072481,0.024051676736422518,-0.7077804638970423,0.3403242967345981,2.3882744312286377,0.07683819476889535
53967,51.27577009141871,0.1819167646296947,0,0,1,1,1,1,0.16666643645718138,0.7625099346612962,0.0028306701693994706,7.268105453500089,0.023501873651290126,-0.6943158484934789,0.34093581868439493,9.66533374786377,0.37622369512643883
53968,51.27574538994509,0.1855105353135364,0,0,1,1,0,1,0.16666748476967203,0.7622235650368953,0.002860421602186324,7.271301188478297,0.022740537460056637,-0.6793365033451496,0.34087623262039657,8.305526733398438,0.3202798741815184
53969,51.27572057845886,0.1891043021243095,0,0,1,0,0,1,0.28297940000182775,0.7626565482130646,0.0029052234523591525,7.272149513500954,0.022056013740381294,-0.6728793440911057,0.34114402643304864,3.045717477798462,0.10388605941992957
53970,51.27569565696025,0.1926980650448098,0,0,1,1,0,1,0.16666721526341433,0.7625415569870488,0.00295696877040239,7.268364645926438,0.022077933860227893,-0.6720073452508154,0.3417074274623836,3.844905138015747,0.13676543927969978
53971,51.27567062544948,0.1962918240578343,0,0,1,1,0,1,0.1666664364571763,0.7622314573815809,0.003074211004700108,7.259078278173966,0.02247601080878874,-0.6590319364258027,0.34461732442663223,1.5847728252410889,0.04378133486440524
53972,51.27564548392675,0.19988557914618,0,0,1,1,0,1,0.16666643645718185,0.7620842060000416,0.003315947679831111,7.2294835075112776,0.021923794983350262,-0.5997213810722832,0.3489714656777884,1.5847728252410889,0.04378133486440524
